locus,gene,known_res,drug,r_carrier,s_carrier,n_rare_variants,n_total_variants,OR,p,product,p_corrected,significant
Rv0034,Rv0034,False,,3,3,5,6,0.9428571428571428,1.0,,1.0,False
Rv0035,fadD34,False,,6,10,11,13,0.4875,0.26412770088756043,,0.680969236106474,False
Rv0036c,Rv0036c,False,,1,5,5,7,0.16756756756756758,0.10274811465577266,,0.45614703969108017,False
Rv0037c,Rv0037c,False,,4,2,6,6,2.0,0.6748567641704906,,0.9516178317360338,False
Rv0038,Rv0038,False,,1,1,2,2,0.9459459459459459,1.0,,1.0,False
Rv0039c,Rv0039c,False,,0,1,1,2,0.0,0.48648648648648646,,0.8335072200774719,False
Rv0040c,mtc28,False,,1,2,3,4,0.4594594594594595,0.6095890410958903,,0.911193566611215,False
Rv0041,leuS,False,,9,14,14,16,0.4876847290640394,0.21059365810712266,,0.6475022882270176,False
Rv0042c,Rv0042c,False,,2,3,5,5,0.6111111111111112,0.6700752459965272,,0.9516178317360338,False
Rv0043c,Rv0043c,False,,4,6,8,8,0.5882352941176471,0.510241335444982,,0.855227202908965,False
Rv0044c,Rv0044c,False,,3,4,7,8,0.6857142857142857,0.7071320118447433,,0.9795947565414673,False
Rv0045c,Rv0045c,False,,3,1,4,6,3.0,0.6150877869959483,,0.911193566611215,False
Rv0046c,ino1,False,,3,6,4,5,0.42857142857142855,0.30236222523016465,,0.7580439097884962,False
Rv0047c,Rv0047c,False,,2,1,3,3,1.9444444444444444,1.0,,1.0,False
Rv0048c,Rv0048c,False,,1,3,3,4,0.2972972972972973,0.35114798379317,,0.8051873237689442,False
Rv0049,Rv0049,False,,1,1,2,2,0.9459459459459459,1.0,,1.0,False
Rv0050,ponA1,False,,4,13,7,10,0.2081447963800905,0.012481186006192914,,0.178380512903226,False
Rv0051,Rv0051,False,,5,2,6,7,2.5757575757575757,0.4309993372983584,,0.8335072200774719,False
Rv0052,Rv0052,False,,1,0,1,1,inf,1.0,,1.0,False
Rv0053,rpsF,False,,0,1,1,1,0.0,0.48648648648648646,,0.8335072200774719,False
Rv0054,ssb,False,,0,2,2,2,0.0,0.23324694557571268,,0.6475022882270176,False
Rv0055,rpsR1,False,,1,0,1,1,inf,1.0,,1.0,False
Rv0056,rplI,False,,2,2,4,4,0.9444444444444444,1.0,,1.0,False
Rv0057,Rv0057,False,,3,2,4,4,1.457142857142857,1.0,,1.0,False
Rv0058,dnaB,False,,10,10,11,12,0.9285714285714286,1.0,,1.0,False
Rv0059,Rv0059,False,,2,2,4,5,0.9444444444444444,1.0,,1.0,False
Rv0060,Rv0060,False,,2,1,3,4,1.9444444444444444,1.0,,1.0,False
Rv0062,celA1,False,,0,2,2,4,0.0,0.23324694557571268,,0.6475022882270176,False
Rv0063,Rv0063,False,,5,12,17,20,0.30303030303030304,0.0537593544553053,,0.3387460010613031,False
Rv0063a,Rv0063a,False,,1,1,1,1,0.9459459459459459,1.0,,1.0,False
Rv0064,Rv0064,False,,11,11,25,30,0.9259259259259259,1.0,,1.0,False
Rv0064A,vapB1,False,,0,1,1,1,0.0,0.48648648648648646,,0.8335072200774719,False
Rv0065,vapC1,False,,0,2,2,2,0.0,0.23324694557571268,,0.6475022882270176,False
Rv0066c,icd2,False,,2,13,13,15,0.09829059829059829,0.0011720809337903378,,0.06869534272428701,False
Rv0067c,Rv0067c,False,,1,2,2,3,0.4594594594594595,0.6095890410958903,,0.911193566611215,False
Rv0068,Rv0068,False,,5,4,7,8,1.2121212121212122,1.0,,1.0,False
Rv0069c,sdaA,False,,7,1,6,6,7.903225806451613,0.0564447014731308,,0.3492084934070657,False
Rv0070c,glyA2,False,,2,8,6,6,0.19444444444444445,0.04377157393176042,,0.33514088463950475,False
Rv0071,Rv0071,False,,4,2,2,5,2.0,0.6748567641704906,,0.9516178317360338,False
Rv0072,Rv0072,False,,0,5,5,5,0.0,0.023402912849179495,,0.23308133225942204,False
Rv0073,Rv0073,False,,3,3,4,4,0.9428571428571428,1.0,,1.0,False
Rv0074,Rv0074,False,,4,12,8,9,0.23529411764705882,0.02380418899613551,,0.23308133225942204,False
Rv0075,Rv0075,False,,2,9,5,6,0.16666666666666666,0.022647941045836978,,0.23308133225942204,False
Rv0076c,Rv0076c,False,,1,1,1,1,0.9459459459459459,1.0,,1.0,False
Rv0077c,Rv0077c,False,,2,0,2,2,inf,0.49352091817845234,,0.8335072200774719,False
Rv0078,Rv0078,False,,5,5,9,9,0.9393939393939394,1.0,,1.0,False
Rv0078B,Rv0078B,False,,1,2,3,3,0.4594594594594595,0.6095890410958903,,0.911193566611215,False
Rv0079,Rv0079,False,,2,2,2,2,0.9444444444444444,1.0,,1.0,False
Rv0080,Rv0080,False,,4,9,10,11,0.35294117647058826,0.13187969254550178,,0.5306623269850212,False
Rv0081,Rv0081,False,,2,0,2,3,inf,0.49352091817845234,,0.8335072200774719,False
Rv0082,Rv0082,False,,1,0,1,1,inf,1.0,,1.0,False
Rv0083,Rv0083,False,,3,9,8,9,0.2571428571428571,0.06110160373142372,,0.36221602880919246,False
Rv0084,hycD,False,,2,1,3,3,1.9444444444444444,1.0,,1.0,False
Rv0085,hycP,False,,4,2,4,4,2.0,0.6748567641704906,,0.9516178317360338,False
Rv0086,hycQ,False,,1,3,4,5,0.2972972972972973,0.35114798379317,,0.8051873237689442,False
Rv0087,hycE,False,,1,8,9,9,0.0945945945945946,0.012730682585194974,,0.178380512903226,False
Rv0088,Rv0088,False,,0,1,1,2,0.0,0.48648648648648646,,0.8335072200774719,False
Rv0089,Rv0089,False,,0,9,3,3,0.0,0.0008517892435051351,,0.06869534272428701,False
Rv0090,Rv0090,False,,1,2,2,4,0.4594594594594595,0.6095890410958903,,0.911193566611215,False
Rv0091,mtn,False,,0,1,1,1,0.0,0.48648648648648646,,0.8335072200774719,False
Rv0092,ctpA,False,,6,13,9,10,0.3317307692307692,0.06302588206633056,,0.3723779198752364,False
Rv0093c,Rv0093c,False,,5,3,6,7,1.6666666666666667,0.7115031758470607,,0.9799062775360645,False
Rv0094c,Rv0094c,False,,20,19,43,60,0.9941520467836257,1.0,,1.0,False
Rv0095c,Rv0095c,False,,11,12,12,25,0.8148148148148148,0.8028089282197237,,1.0,False
Rv0096,PPE1,False,,5,9,8,9,0.45454545454545453,0.24211623692337897,,0.6497366085491132,False
Rv0097,Rv0097,False,,1,1,1,1,0.9459459459459459,1.0,,1.0,False
Rv0098,fcoT,False,,1,4,3,3,0.21621621621621623,0.19351726799151076,,0.6475022882270176,False
Rv0099,fadD10,False,,3,11,7,7,0.19480519480519481,0.017434653667657445,,0.2323528092174648,False
Rv0100,Rv0100,False,,1,1,2,2,0.9459459459459459,1.0,,1.0,False
Rv0101,nrp,False,,12,17,23,27,0.5158371040723982,0.23402154890005306,,0.6477547394782668,False
Rv0102,Rv0102,False,,6,4,9,9,1.5,0.7366003820880577,,0.9993296419832239,False
Rv0103c,ctpB,False,,5,10,6,7,0.3939393939393939,0.15255234906912282,,0.5814734222564991,False
Rv0104,Rv0104,False,,7,7,12,17,0.9354838709677419,1.0,,1.0,False
Rv0105c,rpmB1,False,,1,0,1,1,inf,1.0,,1.0,False
Rv0106,Rv0106,False,,0,2,1,1,0.0,0.23324694557571268,,0.6475022882270176,False
Rv0107c,ctpI,False,,9,9,17,20,0.9310344827586207,1.0,,1.0,False
Rv0108c,Rv0108c,False,,1,1,1,1,0.9459459459459459,1.0,,1.0,False
Rv0109,PE_PGRS1,False,,4,11,7,10,0.26737967914438504,0.043743328287505975,,0.33514088463950475,False
Rv0110,Rv0110,False,,0,1,1,1,0.0,0.48648648648648646,,0.8335072200774719,False
Rv0111,Rv0111,False,,4,8,9,10,0.4117647058823529,0.2159302455790701,,0.6475022882270176,False
Rv0112,gca,False,,2,6,6,7,0.2777777777777778,0.14729830450796125,,0.5663476024736688,False
Rv0113,gmhA,False,,4,4,6,6,0.9411764705882353,1.0,,1.0,False
Rv0114,gmhB,False,,1,3,4,4,0.2972972972972973,0.35114798379317,,0.8051873237689442,False
Rv0115,hddA,False,,5,1,4,6,5.303030303030303,0.20029108540462554,,0.6475022882270176,False
Rv0115a,Rv0115a,False,,0,2,2,2,0.0,0.23324694557571268,,0.6475022882270176,False
Rv0116c,ldtA,False,,1,12,5,5,0.05405405405405406,0.0005282957825357022,,0.05508260438497248,False
Rv0117,oxyS,False,,0,5,1,2,0.0,0.023402912849179495,,0.23308133225942204,False
Rv0118c,oxcA,False,,7,4,7,8,1.8064516129032258,0.5171007004947722,,0.8646801807801734,False
Rv0119,fadD7,False,,4,9,10,12,0.35294117647058826,0.13187969254550178,,0.5306623269850212,False
Rv0120c,fusA2,False,,6,9,13,18,0.5625,0.3927464119509913,,0.8335072200774719,False
Rv0121c,Rv0121c,False,,1,1,2,2,0.9459459459459459,1.0,,1.0,False
Rv0124,PE_PGRS2,False,,12,4,13,13,3.6923076923076925,0.047515597883170654,,0.33592375281992326,False
Rv0125,pepA,False,,2,0,2,2,inf,0.49352091817845234,,0.8335072200774719,False
Rv0126,treS,False,,3,4,5,5,0.6857142857142857,0.7071320118447433,,0.9795947565414673,False
Rv0127,mak,False,,2,2,4,5,0.9444444444444444,1.0,,1.0,False
Rv0128,Rv0128,False,,0,9,3,3,0.0,0.0008517892435051351,,0.06869534272428701,False
Rv0129c,fbpC,False,,5,3,7,9,1.6666666666666667,0.7115031758470607,,0.9799062775360645,False
Rv0130,htdZ,False,,3,2,2,2,1.457142857142857,1.0,,1.0,False
Rv0131c,fadE1,False,,6,7,8,8,0.7767857142857143,0.765120408744056,,1.0,False
Rv0132c,fgd2,False,,0,4,4,4,0.0,0.05119387185758014,,0.33592375281992326,False
Rv0133,Rv0133,False,,1,1,2,3,0.9459459459459459,1.0,,1.0,False
Rv0134,ephF,False,,0,7,5,8,0.0,0.004638684771896191,,0.11499396864595803,False
Rv0135c,Rv0135c,False,,0,5,1,1,0.0,0.023402912849179495,,0.23308133225942204,False
Rv0136,cyp138,False,,3,2,4,4,1.457142857142857,1.0,,1.0,False
Rv0137c,msrA,False,,2,2,2,2,0.9444444444444444,1.0,,1.0,False
Rv0138,Rv0138,False,,2,5,5,5,0.34444444444444444,0.2552785444052043,,0.6654135587620951,False
Rv0139,Rv0139,False,,7,2,6,6,3.838709677419355,0.1536926929913511,,0.5814734222564991,False
Rv0140,Rv0140,False,,3,1,3,3,3.0,0.6150877869959483,,0.911193566611215,False
Rv0141c,Rv0141c,False,,1,0,1,1,inf,1.0,,1.0,False
Rv0142,Rv0142,False,,0,4,2,3,0.0,0.05119387185758014,,0.33592375281992326,False
Rv0143c,Rv0143c,False,,9,10,10,11,0.8068965517241379,0.7922070486498222,,1.0,False
Rv0144,Rv0144,False,,2,19,6,7,0.049707602339181284,4.994829785078399e-06,,0.004504670855563631,True
Rv0145,Rv0145,False,,0,4,4,4,0.0,0.05119387185758014,,0.33592375281992326,False
Rv0146,Rv0146,False,,4,3,5,6,1.2941176470588236,1.0,,1.0,False
Rv0147,Rv0147,False,,0,2,2,2,0.0,0.23324694557571268,,0.6475022882270176,False
Rv0148,Rv0148,False,,2,1,3,3,1.9444444444444444,1.0,,1.0,False
Rv0149,Rv0149,False,,6,4,4,5,1.5,0.7366003820880577,,0.9993296419832239,False
Rv0150c,Rv0150c,False,,0,2,1,1,0.0,0.23324694557571268,,0.6475022882270176,False
Rv0151c,PE1,False,,7,12,12,15,0.45161290322580644,0.18602485264206142,,0.6475022882270176,False
Rv0152c,PE2,False,,3,4,8,9,0.6857142857142857,0.7071320118447433,,0.9795947565414673,False
Rv0153c,ptbB,False,,1,2,4,4,0.4594594594594595,0.6095890410958903,,0.911193566611215,False
Rv0154c,fadE2,False,,1,1,2,4,0.9459459459459459,1.0,,1.0,False
Rv0155,pntAa,False,,2,1,3,3,1.9444444444444444,1.0,,1.0,False
Rv0157,pntB,False,,1,7,6,6,0.11196911196911197,0.02629972719429304,,0.23308133225942204,False
Rv0158,Rv0158,False,,5,2,6,6,2.5757575757575757,0.4309993372983584,,0.8335072200774719,False
Rv0159c,PE3,False,,2,2,4,6,0.9444444444444444,1.0,,1.0,False
Rv0160c,PE4,False,,2,9,4,6,0.16666666666666666,0.022647941045836978,,0.23308133225942204,False
Rv0161,Rv0161,False,,4,11,9,10,0.26737967914438504,0.043743328287505975,,0.33514088463950475,False
Rv0162c,adhE1,False,,3,6,5,5,0.42857142857142855,0.30236222523016465,,0.7580439097884962,False
Rv0163,Rv0163,False,,1,2,3,3,0.4594594594594595,0.6095890410958903,,0.911193566611215,False
Rv0164,TB18.5,False,,2,2,3,3,0.9444444444444444,1.0,,1.0,False
Rv0165c,mce1R,False,,1,3,3,5,0.2972972972972973,0.35114798379317,,0.8051873237689442,False
Rv0166,fadD5,False,,4,11,6,9,0.26737967914438504,0.043743328287505975,,0.33514088463950475,False
Rv0167,yrbE1A,False,,3,4,5,6,0.6857142857142857,0.7071320118447433,,0.9795947565414673,False
Rv0168,yrbE1B,False,,3,8,5,6,0.3,0.10829118978574412,,0.45614703969108017,False
Rv0169,mce1A,False,,6,9,8,9,0.5625,0.3927464119509913,,0.8335072200774719,False
Rv0170,mce1B,False,,1,9,5,5,0.08108108108108109,0.005991541700743262,,0.12277465508170443,False
Rv0171,mce1C,False,,2,9,6,7,0.16666666666666666,0.022647941045836978,,0.23308133225942204,False
Rv0172,mce1D,False,,3,8,8,10,0.3,0.10829118978574412,,0.45614703969108017,False
Rv0173,lprK,False,,1,2,2,3,0.4594594594594595,0.6095890410958903,,0.911193566611215,False
Rv0174,mce1F,False,,2,6,8,11,0.2777777777777778,0.14729830450796125,,0.5663476024736688,False
Rv0175,Rv0175,False,,2,3,4,6,0.6111111111111112,0.6700752459965272,,0.9516178317360338,False
Rv0176,Rv0176,False,,0,6,4,9,0.0,0.010514352149631367,,0.16789810076776215,False
Rv0177,Rv0177,False,,4,5,5,5,0.7294117647058823,0.7324847630581837,,0.9971806778192247,False
Rv0178,Rv0178,False,,4,0,2,2,inf,0.11534590735825542,,0.47162772962516203,False
Rv0179c,lprO,False,,3,7,5,6,0.3551020408163265,0.18468088333393254,,0.6475022882270176,False
Rv0180c,Rv0180c,False,,7,3,6,7,2.4838709677419355,0.31010927281581,,0.7758203049626299,False
Rv0181c,Rv0181c,False,,0,2,2,3,0.0,0.23324694557571268,,0.6475022882270176,False
Rv0182c,sigG,False,,0,3,2,4,0.0,0.11014439096630878,,0.45614703969108017,False
Rv0184,Rv0184,False,,2,1,3,4,1.9444444444444444,1.0,,1.0,False
Rv0185,Rv0185,False,,1,0,1,2,inf,1.0,,1.0,False
Rv0186,bglS,False,,6,8,7,8,0.65625,0.5600820770329243,,0.911193566611215,False
Rv0187,Rv0187,False,,1,0,1,1,inf,1.0,,1.0,False
Rv0188,Rv0188,False,,3,7,5,5,0.3551020408163265,0.18468088333393254,,0.6475022882270176,False
Rv0189c,ilvD,False,,2,3,4,4,0.6111111111111112,0.6700752459965272,,0.9516178317360338,False
Rv0191,Rv0191,False,,2,4,5,6,0.4444444444444444,0.42382706003741333,,0.8335072200774719,False
Rv0192,Rv0192,False,,2,1,3,6,1.9444444444444444,1.0,,1.0,False
Rv0193c,Rv0193c,False,,5,12,9,11,0.30303030303030304,0.0537593544553053,,0.3387460010613031,False
Rv0194,Rv0194,False,,9,11,18,20,0.7053291536050157,0.6036478250279251,,0.911193566611215,False
Rv0195,Rv0195,False,,1,2,3,4,0.4594594594594595,0.6095890410958903,,0.911193566611215,False
Rv0196,Rv0196,False,,0,2,2,2,0.0,0.23324694557571268,,0.6475022882270176,False
Rv0197,Rv0197,False,,6,9,8,11,0.5625,0.3927464119509913,,0.8335072200774719,False
Rv0198c,zmp1,False,,5,7,11,11,0.6277056277056277,0.5381454191169177,,0.8943860809983465,False
Rv0199,Rv0199,False,,2,0,1,1,inf,0.49352091817845234,,0.8335072200774719,False
Rv0200,Rv0200,False,,1,1,2,2,0.9459459459459459,1.0,,1.0,False
Rv0201c,Rv0201c,False,,1,0,1,1,inf,1.0,,1.0,False
Rv0202c,mmpL11,False,,7,5,10,10,1.4,0.7549573495070202,,1.0,False
Rv0203,Rv0203,False,,2,0,1,1,inf,0.49352091817845234,,0.8335072200774719,False
Rv0204c,Rv0204c,False,,0,4,2,2,0.0,0.05119387185758014,,0.33592375281992326,False
Rv0205,Rv0205,False,,1,6,5,7,0.13513513513513514,0.05278124973785536,,0.33592375281992326,False
Rv0206c,mmpL3,False,,2,10,8,9,0.14444444444444443,0.01133804025595853,,0.17706322778578407,False
Rv0207c,Rv0207c,False,,0,2,2,2,0.0,0.23324694557571268,,0.6475022882270176,False
Rv0208c,Rv0208c,False,,1,1,2,2,0.9459459459459459,1.0,,1.0,False
Rv0209,Rv0209,False,,5,2,5,6,2.5757575757575757,0.4309993372983584,,0.8335072200774719,False
Rv0210,Rv0210,False,,4,4,3,4,0.9411764705882353,1.0,,1.0,False
Rv0211,pckA,False,,3,4,7,7,0.6857142857142857,0.7071320118447433,,0.9795947565414673,False
Rv0212c,nadR,False,,5,7,9,9,0.6277056277056277,0.5381454191169177,,0.8943860809983465,False
Rv0213c,Rv0213c,False,,2,1,4,6,1.9444444444444444,1.0,,1.0,False
Rv0214,fadD4,False,,1,8,4,5,0.0945945945945946,0.012730682585194974,,0.178380512903226,False
Rv0216,Rv0216,False,,6,4,4,4,1.5,0.7366003820880577,,0.9993296419832239,False
Rv0217c,lipW,False,,2,11,7,8,0.12626262626262627,0.005495365408026016,,0.12277465508170443,False
Rv0219,Rv0219,False,,0,1,1,2,0.0,0.48648648648648646,,0.8335072200774719,False
Rv0220,lipC,False,,2,4,5,6,0.4444444444444444,0.42382706003741333,,0.8335072200774719,False
Rv0221,Rv0221,False,,2,2,3,8,0.9444444444444444,1.0,,1.0,False
Rv0223c,Rv0223c,False,,2,5,6,8,0.34444444444444444,0.2552785444052043,,0.6654135587620951,False
Rv0224c,Rv0224c,False,,0,1,1,1,0.0,0.48648648648648646,,0.8335072200774719,False
Rv0225,Rv0225,False,,3,2,5,5,1.457142857142857,1.0,,1.0,False
Rv0226c,Rv0226c,False,,3,6,8,9,0.42857142857142855,0.30236222523016465,,0.7580439097884962,False
Rv0227c,Rv0227c,False,,3,7,5,6,0.3551020408163265,0.18468088333393254,,0.6475022882270176,False
Rv0228,Rv0228,False,,2,8,5,5,0.19444444444444445,0.04377157393176042,,0.33514088463950475,False
Rv0229c,Rv0229c,False,,3,1,2,3,3.0,0.6150877869959483,,0.911193566611215,False
Rv0230c,php,False,,3,7,8,8,0.3551020408163265,0.18468088333393254,,0.6475022882270176,False
Rv0231,fadE4,False,,3,1,3,4,3.0,0.6150877869959483,,0.911193566611215,False
Rv0232,Rv0232,False,,1,6,3,4,0.13513513513513514,0.05278124973785536,,0.33592375281992326,False
Rv0233,nrdB,False,,2,2,3,4,0.9444444444444444,1.0,,1.0,False
Rv0234c,gabD1,False,,1,3,5,5,0.2972972972972973,0.35114798379317,,0.8051873237689442,False
Rv0235c,Rv0235c,False,,2,7,7,8,0.23015873015873015,0.08175582255321553,,0.44046260022970984,False
Rv0236c,aftD,False,,8,13,17,23,0.4717948717948718,0.19931317931147713,,0.6475022882270176,False
Rv0236A,Rv0236A,False,,0,1,1,1,0.0,0.48648648648648646,,0.8335072200774719,False
Rv0237,lpqI,False,,1,4,4,5,0.21621621621621623,0.19351726799151076,,0.6475022882270176,False
Rv0238,Rv0238,False,,1,1,2,2,0.9459459459459459,1.0,,1.0,False
Rv0239,vapB24,False,,2,4,2,3,0.4444444444444444,0.42382706003741333,,0.8335072200774719,False
Rv0240,vapC24,False,,1,8,3,3,0.0945945945945946,0.012730682585194974,,0.178380512903226,False
Rv0241c,htdX,False,,6,1,3,4,6.5625,0.10800778464713234,,0.45614703969108017,False
Rv0242c,fabG4,False,,1,3,5,5,0.2972972972972973,0.35114798379317,,0.8051873237689442,False
Rv0243,fadA2,False,,1,1,2,2,0.9459459459459459,1.0,,1.0,False
RVnc0008,F6,False,,1,0,1,3,inf,1.0,,1.0,False
Rv0244c,fadE5,False,,10,2,10,10,6.071428571428571,0.02490992120381267,,0.23308133225942204,False
Rv0245,Rv0245,False,,3,1,3,4,3.0,0.6150877869959483,,0.911193566611215,False
Rv0246,Rv0246,False,,1,6,4,4,0.13513513513513514,0.05278124973785536,,0.33592375281992326,False
Rv0247c,Rv0247c,False,,0,2,1,1,0.0,0.23324694557571268,,0.6475022882270176,False
Rv0248c,Rv0248c,False,,4,5,6,6,0.7294117647058823,0.7324847630581837,,0.9971806778192247,False
Rv0249c,Rv0249c,False,,1,1,2,3,0.9459459459459459,1.0,,1.0,False
Rv0250c,Rv0250c,False,,0,2,2,2,0.0,0.23324694557571268,,0.6475022882270176,False
Rv0251c,hsp,False,,2,2,4,4,0.9444444444444444,1.0,,1.0,False
Rv0252,nirB,False,,4,10,8,10,0.3058823529411765,0.0774223109103874,,0.44046260022970984,False
Rv0253,nirD,False,,1,1,2,2,0.9459459459459459,1.0,,1.0,False
Rv0254c,cobU,False,,0,3,3,3,0.0,0.11014439096630878,,0.45614703969108017,False
Rv0255c,cobQ1,False,,3,5,9,9,0.5314285714285715,0.4737118541210014,,0.8335072200774719,False
Rv0256c,PPE2,False,,4,7,7,9,0.48739495798319327,0.3392471638466414,,0.8051873237689442,False
Rv0257,Rv0257,False,,1,4,1,2,0.21621621621621623,0.19351726799151076,,0.6475022882270176,False
Rv0258c,Rv0258c,False,,2,2,3,3,0.9444444444444444,1.0,,1.0,False
Rv0259c,Rv0259c,False,,2,6,4,5,0.2777777777777778,0.14729830450796125,,0.5663476024736688,False
Rv0260c,Rv0260c,False,,6,6,4,5,0.9375,1.0,,1.0,False
Rv0261c,narK3,False,,2,5,4,4,0.34444444444444444,0.2552785444052043,,0.6654135587620951,False
Rv0262c,aac,False,,1,0,1,1,inf,1.0,,1.0,False
Rv0263c,Rv0263c,False,,1,5,2,2,0.16756756756756758,0.10274811465577266,,0.45614703969108017,False
Rv0264c,Rv0264c,False,,0,2,2,3,0.0,0.23324694557571268,,0.6475022882270176,False
Rv0265c,Rv0265c,False,,1,2,3,3,0.4594594594594595,0.6095890410958903,,0.911193566611215,False
Rv0266c,oplA,False,,4,6,10,11,0.5882352941176471,0.510241335444982,,0.855227202908965,False
Rv0267,narU,False,,4,5,7,7,0.7294117647058823,0.7324847630581837,,0.9971806778192247,False
Rv0268c,Rv0268c,False,,1,0,1,1,inf,1.0,,1.0,False
Rv0269c,Rv0269c,False,,1,4,3,3,0.21621621621621623,0.19351726799151076,,0.6475022882270176,False
Rv0270,fadD2,False,,5,8,11,14,0.5303030303030303,0.36876109849965005,,0.8226923185533414,False
Rv0271c,fadE6,False,,8,11,12,12,0.6060606060606061,0.42873223092756707,,0.8335072200774719,False
Rv0272c,Rv0272c,False,,0,6,3,3,0.0,0.010514352149631367,,0.16789810076776215,False
Rv0273c,Rv0273c,False,,4,5,8,8,0.7294117647058823,0.7324847630581837,,0.9971806778192247,False
Rv0274,Rv0274,False,,1,0,1,1,inf,1.0,,1.0,False
Rv0275c,Rv0275c,False,,1,2,3,5,0.4594594594594595,0.6095890410958903,,0.911193566611215,False
Rv0276,Rv0276,False,,2,1,3,3,1.9444444444444444,1.0,,1.0,False
Rv0277c,vapC25,False,,4,2,12,12,2.0,0.6748567641704906,,0.9516178317360338,False
Rv0278c,Rv0278c,False,,23,24,48,69,0.7666666666666667,0.6347687231646397,,0.9387797762280551,False
Rv0279c,PE_PGRS4,False,,23,19,45,64,1.3719298245614036,0.6392529878414823,,0.9446235272605481,False
Rv0280,PPE3,False,,5,6,4,7,0.7575757575757576,0.751005048692617,,1.0,False
Rv0281,Rv0281,False,,2,0,2,2,inf,0.49352091817845234,,0.8335072200774719,False
Rv0282,eccA3,False,,3,1,4,7,3.0,0.6150877869959483,,0.911193566611215,False
Rv0283,eccB3,False,,1,7,5,6,0.11196911196911197,0.02629972719429304,,0.23308133225942204,False
Rv0284,eccC3,False,,4,5,9,10,0.7294117647058823,0.7324847630581837,,0.9971806778192247,False
Rv0285,PE5,False,,0,2,2,2,0.0,0.23324694557571268,,0.6475022882270176,False
Rv0286,PPE4,False,,1,7,6,8,0.11196911196911197,0.02629972719429304,,0.23308133225942204,False
Rv0287,esxG,False,,2,0,2,2,inf,0.49352091817845234,,0.8335072200774719,False
Rv0288,esxH,False,,1,8,5,5,0.0945945945945946,0.012730682585194974,,0.178380512903226,False
Rv0289,espG3,False,,1,2,4,4,0.4594594594594595,0.6095890410958903,,0.911193566611215,False
Rv0290,eccD3,False,,3,2,5,8,1.457142857142857,1.0,,1.0,False
Rv0291,mycP3,False,,3,8,7,7,0.3,0.10829118978574412,,0.45614703969108017,False
